level	type	deg4	open2x2
792	A	0.1325	0.3138
793	A	0.1368	0.3169
794	A	0.1339	0.3167
795	A	0.1326	0.3137
796	A	0.1325	0.3136
797	A	0.1342	0.3146
798	A	0.1354	0.3159
799	A	0.1319	0.3148
800	A	0.128	0.31
801	A	0.1318	0.3136
802	A	0.1306	0.3128
803	A	0.1334	0.3141
804	A	0.1309	0.3124
805	A	0.1331	0.3152
806	A	0.1335	0.3159
807	A	0.1385	0.3199
808	A	0.1278	0.3115
809	A	0.1319	0.3138
810	A	0.1387	0.3203
811	A	0.1344	0.3178
812	A	0.1326	0.3146
813	A	0.1345	0.3159
814	A	0.1372	0.3185
815	A	0.1346	0.3168
816	A	0.1364	0.317
817	A	0.1372	0.3185
818	A	0.1289	0.3114
819	A	0.1325	0.3122
820	A	0.1354	0.3169
821	A	0.1337	0.3165
822	A	0.1388	0.3197
823	A	0.1359	0.3185
824	A	0.1359	0.3173
825	A	0.1352	0.3163
826	A	0.1342	0.3133
827	A	0.1321	0.3134
828	A	0.1339	0.3145
829	A	0.1386	0.3193
830	A	0.1331	0.3148
831	A	0.1318	0.3129
832	A	0.1359	0.3182
833	A	0.1331	0.3152
834	A	0.1331	0.3135
835	A	0.1263	0.3079
836	A	0.1365	0.3197
837	A	0.1379	0.3181
838	A	0.1362	0.3183
839	A	0.1314	0.3117
840	A	0.1332	0.315
841	A	0.137	0.3189
842	A	0.1348	0.3174
843	A	0.1345	0.315
844	A	0.1344	0.3153
845	A	0.1307	0.312
846	A	0.1371	0.3187
847	A	0.1338	0.3154
848	A	0.1319	0.3134
849	A	0.1352	0.3179
850	A	0.1359	0.3157
851	A	0.1307	0.3122
852	A	0.1299	0.3111
853	A	0.1314	0.3128
854	A	0.1327	0.3136
855	A	0.1348	0.317
856	A	0.139	0.3216
857	A	0.1339	0.3164
858	A	0.1324	0.3145
859	A	0.136	0.3178
860	A	0.1334	0.3152
861	A	0.1322	0.3141
862	A	0.1418	0.3235
863	B	0.0731	0.2562
864	A	0.1341	0.3131
865	A	0.1341	0.316
866	A	0.1351	0.3179
867	A	0.1315	0.3136
868	A	0.1319	0.3147
869	A	0.1339	0.3144
870	A	0.1284	0.3102
871	A	0.1398	0.3211
872	A	0.1349	0.317
873	A	0.1381	0.3207
874	A	0.1407	0.3224
875	A	0.1367	0.318
876	A	0.1359	0.3165
877	A	0.1375	0.3172
878	A	0.1333	0.3155
879	A	0.1383	0.3204
880	A	0.1366	0.3194
881	A	0.1361	0.316
882	A	0.1365	0.3194
883	A	0.1333	0.3169
884	A	0.1321	0.3118
885	A	0.1338	0.3157
886	A	0.1342	0.3146
887	A	0.1376	0.3193
888	A	0.1333	0.3152
889	A	0.1384	0.3195
890	A	0.1322	0.3139
891	A	0.1344	0.3152
892	A	0.1383	0.3211
893	A	0.1358	0.3176
894	A	0.1375	0.3179
895	A	0.133	0.3136
896	A	0.1334	0.3146
897	A	0.1374	0.3195
898	A	0.137	0.3202
899	A	0.1364	0.3178
900	A	0.1349	0.3164
901	A	0.1399	0.3201
902	A	0.1366	0.3186
903	A	0.1362	0.316
904	A	0.1349	0.3155
905	A	0.1377	0.3193
906	A	0.1329	0.3146
907	A	0.1321	0.3144
908	A	0.1351	0.3164
909	A	0.1316	0.3124
910	A	0.1317	0.313
911	A	0.1335	0.3154
912	A	0.1348	0.3164
913	A	0.1386	0.3196
914	A	0.137	0.3186
915	A	0.137	0.3179
916	A	0.1384	0.3204
917	A	0.1338	0.3154
918	A	0.1374	0.3184
919	A	0.1386	0.3212
920	A	0.1312	0.3131
921	A	0.1372	0.3187
922	A	0.1315	0.3136
923	A	0.136	0.317
924	A	0.1331	0.3136
925	A	0.1337	0.3154
926	A	0.1369	0.3191
927	A	0.1351	0.3182
928	A	0.1357	0.3172
929	A	0.1353	0.3162
930	A	0.1331	0.3135
931	A	0.1324	0.3131
932	A	0.1347	0.3152
933	A	0.1371	0.3183
934	A	0.1387	0.3206
935	A	0.1382	0.3211
936	A	0.1385	0.3188
937	A	0.1329	0.3134
938	A	0.1348	0.3163
939	A	0.1356	0.317
940	A	0.1359	0.3187
941	A	0.1335	0.3162
942	A	0.1345	0.3156
943	A	0.1368	0.3175
944	A	0.1357	0.3175
945	A	0.1346	0.3164
946	A	0.1296	0.3123
947	A	0.1377	0.319
948	A	0.1307	0.3123
949	A	0.1348	0.3158
950	A	0.1356	0.3186
951	A	0.1408	0.3214
952	A	0.1339	0.3154
953	A	0.1326	0.3139
954	A	0.1318	0.3125
955	A	0.1328	0.3148
956	A	0.1343	0.3152
957	A	0.1364	0.318
958	A	0.1336	0.3127
959	A	0.1377	0.3193
960	A	0.1381	0.3199
961	A	0.141	0.322
962	A	0.1297	0.3118
963	A	0.1336	0.3144
964	A	0.1403	0.3207
965	A	0.1372	0.32
966	A	0.135	0.3164
967	A	0.136	0.3197
968	A	0.1382	0.3195
969	A	0.1348	0.3152
970	A	0.1368	0.3193
971	A	0.1383	0.32
972	A	0.1371	0.3191
973	A	0.1277	0.3088
974	A	0.1375	0.3202
975	A	0.1324	0.3133
976	A	0.1338	0.3142
977	A	0.1314	0.3123
978	A	0.1358	0.317
979	A	0.1333	0.3153
980	A	0.1356	0.3171
981	A	0.133	0.3159
982	A	0.1369	0.3197
983	B	0.0745	0.2578
984	A	0.1376	0.3187
985	A	0.1327	0.3156
986	A	0.1358	0.3155
987	A	0.134	0.3155
988	A	0.1327	0.314
989	A	0.1365	0.3169
990	A	0.1356	0.3165
991	A	0.1332	0.3148
992	A	0.1337	0.3149
993	A	0.1371	0.3197
994	A	0.1374	0.3191
995	A	0.1335	0.3155
996	A	0.1357	0.3178
997	A	0.1398	0.321
998	A	0.132	0.3137
999	A	0.1353	0.3147
1000	A	0.1312	0.3138
1001	A	0.1391	0.3213
1002	A	0.1311	0.3147
1003	A	0.1411	0.322
1004	A	0.1366	0.3175
1005	A	0.1377	0.3173
1006	A	0.1391	0.32
1007	A	0.1386	0.3198
1008	A	0.1386	0.3196
1009	A	0.1369	0.3187
1010	A	0.141	0.3226
1011	A	0.1388	0.321
1012	A	0.1383	0.3195
