  分治：12 块 144 对，可行 40 对，整块淘汰掉 0 格
有向预计算：走向已定 0/143162 (0.0%) | 无向判定率 0.0% -> 0.0% (0 -> 0 / 71581 边)
有向预计算：走向已定 0/143162 (0.0%) | 无向判定率 0.0% -> 0.0% (0 -> 0 / 71581 边)
全局阶段：固定 0 条边，起点候选 50288 / 50288 (100.0%)
adaptive PROPDEPTH=2 (fixed 0 / 71581 edges; 第一层存活率>=SURVDEEP%再升深层)
T1 sh7 cell=(20,0) PROBE0 nodes=52
T1 sh23 cell=(243,0) PROBE0 nodes=94
T1 sh20 cell=(229,0) PROBE0 nodes=13
T1 sh17 cell=(13,1) PROBE0 nodes=17
T1 sh12 cell=(207,0) PROBE0 nodes=22
T1 sh13 cell=(273,0) PROBE0 nodes=163
T1 sh4 cell=(254,0) PROBE0 nodes=113
T1 sh16 cell=(5,1) PROBE0 nodes=9
T1 sh1 cell=(249,0) PROBE0 nodes=95
T1 sh24 cell=(244,0) PROBE0 nodes=88
T1 sh2 cell=(250,0) PROBE0 nodes=110
T1 sh25 cell=(50,1) PROBE0 nodes=159
T1 sh10 cell=(263,0) PROBE0 nodes=17
T1 sh14 cell=(274,0) PROBE0 nodes=179
T1 sh5 cell=(255,0) PROBE0 nodes=97
T1 sh22 cell=(38,1) PROBE0 nodes=3
T1 sh11 cell=(265,0) PROBE0 nodes=21
T1 sh18 cell=(14,1) PROBE0 nodes=18
T1 sh6 cell=(256,0) PROBE0 nodes=94
T1 sh3 cell=(253,0) PROBE0 nodes=96
T1 sh23 cell=(42,1) PROBE0 nodes=69
T1 sh0 cell=(247,0) PROBE0 nodes=100
T1 sh7 cell=(111,1) PROBE0 nodes=558
T1 sh15 cell=(0,1) PROBE0 nodes=3
T1 sh13 cell=(151,1) PROBE0 nodes=439
T1 sh8 cell=(261,0) PROBE0 nodes=18
T1 sh9 cell=(262,0) PROBE0 nodes=18
T1 sh4 cell=(99,1) PROBE0 nodes=40
T1 sh1 cell=(77,1) PROBE0 nodes=63
T1 sh12 cell=(266,0) PROBE0 nodes=23
T1 sh20 cell=(28,1) PROBE0 nodes=154
T1 sh17 cell=(177,1) PROBE0 nodes=164
T1 sh24 cell=(48,1) PROBE0 nodes=69
T1 sh2 cell=(84,1) PROBE0 nodes=35
T1 sh5 cell=(103,1) PROBE0 nodes=40
T1 sh14 cell=(154,1) PROBE0 nodes=141
T1 sh22 cell=(203,1) PROBE0 nodes=9
T1 sh3 cell=(87,1) PROBE0 nodes=36
T1 sh6 cell=(104,1) PROBE0 nodes=40
T1 sh7 cell=(253,1) PROBE0 nodes=115
T1 sh0 cell=(75,1) PROBE0 nodes=29
T1 sh13 cell=(12,2) PROBE0 nodes=18
T1 sh4 cell=(247,1) PROBE0 nodes=110
T1 sh1 cell=(232,1) PROBE0 nodes=14
T1 sh11 cell=(137,1) PROBE0 nodes=118
T1 sh15 cell=(158,1) PROBE0 nodes=6
T1 sh9 cell=(117,1) PROBE0 nodes=19
T1 sh8 cell=(116,1) PROBE0 nodes=19
T1 sh18 cell=(178,1) PROBE0 nodes=164
T1 sh16 cell=(25,2) PROBE0 nodes=407
T1 sh12 cell=(139,1) PROBE0 nodes=416
T1 sh10 cell=(263,1) PROBE0 nodes=17
T1 sh25 cell=(84,2) PROBE0 nodes=34
T1 sh2 cell=(233,1) PROBE0 nodes=14
T1 sh17 cell=(26,2) PROBE0 nodes=420
T1 sh22 cell=(71,2) PROBE0 nodes=31
T1 sh14 cell=(16,2) PROBE0 nodes=21
T1 sh5 cell=(250,1) PROBE0 nodes=94
T1 sh7 cell=(140,2) PROBE0 nodes=420
T1 sh3 cell=(245,1) PROBE0 nodes=88
T1 sh6 cell=(251,1) PROBE0 nodes=110
T1 sh0 cell=(231,1) PROBE0 nodes=14
T1 sh11 cell=(264,1) PROBE0 nodes=18
T1 sh1 cell=(89,2) PROBE0 nodes=75
T1 sh4 cell=(124,2) PROBE0 nodes=567
T1 sh9 cell=(258,1) PROBE0 nodes=17
T1 sh16 cell=(194,2) PROBE0 nodes=7
T1 sh23 cell=(73,2) PROBE0 nodes=21
T1 sh25 cell=(245,2) PROBE0 nodes=72
T1 sh15 cell=(24,2) PROBE0 nodes=405
T1 sh8 cell=(256,1) PROBE0 nodes=95
T1 sh21 cell=(69,2) PROBE0 nodes=8
T1 sh10 cell=(154,2) PROBE0 nodes=442
T1 sh22 cell=(217,2) PROBE0 nodes=29
T1 sh12 cell=(8,2) PROBE0 nodes=12
T1 sh17 cell=(195,2) PROBE0 nodes=7
T1 sh2 cell=(101,2) PROBE0 nodes=93
T1 sh18 cell=(31,2) PROBE0 nodes=511
T1 sh20 cell=(57,2) PROBE0 nodes=110
T1 sh24 cell=(75,2) PROBE0 nodes=28
T1 sh5 cell=(130,2) PROBE0 nodes=569
T1 sh14 cell=(177,2) PROBE0 nodes=163
T1 sh7 cell=(24,3) PROBE0 nodes=412
T1 sh3 cell=(104,2) PROBE0 nodes=40
T1 sh4 cell=(10,3) PROBE0 nodes=11
T1 sh1 cell=(249,2) PROBE0 nodes=86
T1 sh13 cell=(49,3) PROBE0 nodes=122
T1 sh11 cell=(162,2) PROBE0 nodes=26
T1 sh0 cell=(85,2) PROBE0 nodes=65
T1 sh16 cell=(66,3) PROBE0 nodes=9
T1 sh19 cell=(73,3) PROBE0 nodes=23
T1 sh23 cell=(218,2) PROBE0 nodes=26
T1 sh25 cell=(100,3) PROBE0 nodes=31
T1 sh6 cell=(137,2) PROBE0 nodes=118
T1 sh9 cell=(150,2) PROBE0 nodes=434
T1 sh17 cell=(67,3) PROBE0 nodes=7
T1 sh15 cell=(193,2) PROBE0 nodes=6
T1 sh10 cell=(44,3) PROBE0 nodes=63
T1 sh21 cell=(210,2) PROBE0 nodes=14
T1 sh22 cell=(87,3) PROBE0 nodes=31
T1 sh20 cell=(206,2) PROBE0 nodes=15
T1 sh12 cell=(163,2) PROBE0 nodes=6
T1 sh8 cell=(146,2) PROBE0 nodes=134
T1 sh5 cell=(14,3) PROBE0 nodes=13
T1 sh2 cell=(262,2) PROBE0 nodes=434
T1 sh7 cell=(141,3) PROBE0 nodes=419
T1 sh11 cell=(45,3) PROBE0 nodes=62
T1 sh13 cell=(157,3) PROBE0 nodes=18
T1 sh4 cell=(125,3) PROBE0 nodes=566
T1 sh3 cell=(5,3) PROBE0 nodes=84
T1 sh0 cell=(248,2) PROBE0 nodes=100
T1 sh23 cell=(96,3) PROBE0 nodes=30
T1 sh6 cell=(18,3) PROBE0 nodes=47
T1 sh10 cell=(150,3) PROBE0 nodes=514
T1 sh17 cell=(193,3) PROBE0 nodes=7
T1 sh9 cell=(42,3) PROBE0 nodes=64
T1 sh22 cell=(213,3) PROBE0 nodes=9
T1 sh21 cell=(86,3) PROBE0 nodes=30
T1 sh15 cell=(60,3) PROBE0 nodes=152
T1 sh20 cell=(76,3) PROBE0 nodes=70
T1 sh7 cell=(238,3) PROBE0 nodes=137
T1 sh12 cell=(47,3) PROBE0 nodes=240
T1 sh13 cell=(257,3) PROBE0 nodes=115
T1 sh5 cell=(129,3) PROBE0 nodes=565
T1 sh18 cell=(69,3) PROBE0 nodes=7
T1 sh8 cell=(37,3) PROBE0 nodes=491
T1 sh4 cell=(232,3) PROBE0 nodes=82
T1 sh25 cell=(42,4) PROBE0 nodes=62
T1 sh19 cell=(4,4) PROBE0 nodes=79
T1 sh16 cell=(264,3) PROBE0 nodes=16
T1 sh11 cell=(152,3) PROBE0 nodes=143
T1 sh21 cell=(212,3) PROBE0 nodes=10
T1 sh24 cell=(99,3) PROBE0 nodes=32
T1 sh10 cell=(246,3) PROBE0 nodes=72
T1 sh0 cell=(110,3) PROBE0 nodes=80
T1 sh6 cell=(137,3) PROBE0 nodes=118
T1 sh22 cell=(18,4) PROBE0 nodes=461
T1 sh17 cell=(274,3) PROBE0 nodes=164
T1 sh9 cell=(146,3) PROBE0 nodes=129
T1 sh12 cell=(156,3) PROBE0 nodes=17
T1 sh20 cell=(211,3) PROBE0 nodes=10
T1 sh23 cell=(26,4) PROPKILL
T1 sh7 cell=(94,4) PROBE0 nodes=75
T1 sh1 cell=(51,4) PROBE0 nodes=80
T1 sh16 cell=(138,4) PROBE0 nodes=418
T1 sh5 cell=(233,3) PROBE0 nodes=34
T1 sh4 cell=(79,4) PROBE0 nodes=42
T1 sh19 cell=(147,4) PROBE0 nodes=507
T1 sh14 cell=(259,3) PROBE0 nodes=11
T1 sh8 cell=(145,3) PROBE0 nodes=129
T1 sh10 cell=(109,4) PROBE0 nodes=48
T1 sh11 cell=(247,3) PROBE0 nodes=87
T1 sh21 cell=(13,4) PROBE0 nodes=18
T1 sh22 cell=(156,4) PROBE0 nodes=17
T1 sh3 cell=(230,3) PROBE0 nodes=18
T1 sh6 cell=(237,3) PROBE0 nodes=123
T1 sh9 cell=(245,3) PROBE0 nodes=87
T1 sh23 cell=(158,4) PROBE0 nodes=39
T1 sh20 cell=(12,4) PROBE0 nodes=22
T1 sh7 cell=(229,4) PROBE0 nodes=7
T1 sh12 cell=(254,3) PROBE0 nodes=193
T1 sh16 cell=(0,5) PROBE0 nodes=72
T1 sh17 cell=(144,4) PROBE0 nodes=130
T1 sh13 cell=(266,4) PROBE0 nodes=36
T1 sh5 cell=(80,4) PROBE0 nodes=42
T1 sh15 cell=(263,3) PROBE0 nodes=141
T1 sh19 cell=(14,5) PROBE0 nodes=33
T1 sh10 cell=(244,4) PROBE0 nodes=106
T1 sh10 cell=(101,5) PROPKILL
T1 sh25 cell=(46,5) PROBE0 nodes=115
T1 sh22 cell=(25,5) PROBE0 nodes=3
T1 sh18 cell=(0,4) PROBE0 nodes=71
T1 sh8 cell=(243,3) PROBE0 nodes=64
T1 sh3 cell=(78,4) PROBE0 nodes=41
T1 sh11 cell=(114,4) PROBE0 nodes=452
T1 sh21 cell=(155,4) PROBE0 nodes=17
T1 sh2 cell=(52,4) PROBE0 nodes=85
T1 sh6 cell=(88,4) PROBE0 nodes=2
T1 sh7 cell=(85,5) PROBE0 nodes=46
T1 sh0 cell=(49,4) PROBE0 nodes=123
T1 sh9 cell=(107,4) PROBE0 nodes=67
T1 sh1 cell=(50,5) PROBE0 nodes=128
T1 sh13 cell=(119,5) PROBE0 nodes=503
T1 sh16 cell=(129,5) PROBE0 nodes=565
T1 sh17 cell=(4,5) PROBE0 nodes=79
T1 sh23 cell=(28,5) PROBE0 nodes=120
T1 sh20 cell=(153,4) PROBE0 nodes=158
T1 sh19 cell=(146,5) PROBE0 nodes=508
T1 sh2 cell=(207,4) PROBE0 nodes=12
T1 sh22 cell=(150,5) PROBE0 nodes=507
T1 sh11 cell=(247,4) PROBE0 nodes=69
T1 sh8 cell=(104,4) PROBE0 nodes=92
T1 sh3 cell=(209,4) PROBE0 nodes=21
T1 sh15 cell=(137,4) PROBE0 nodes=117
T1 sh14 cell=(272,4) PROBE0 nodes=344
T1 sh21 cell=(23,5) PROBE0 nodes=406
T1 sh18 cell=(145,4) PROBE0 nodes=129
T1 sh16 cell=(237,5) PROBE0 nodes=53
T1 sh7 cell=(205,5) PROBE0 nodes=15
T1 sh9 cell=(243,4) PROBE0 nodes=48
T1 sh23 cell=(155,5) PROBE0 nodes=18
T1 sh19 cell=(246,5) PROBE0 nodes=141
T1 sh12 cell=(252,4) PROBE0 nodes=102
T1 sh10 cell=(27,6) PROBE0 nodes=9
T1 sh11 cell=(109,5) PROBE0 nodes=48
T1 sh25 cell=(267,5) PROBE0 nodes=165
T1 sh24 cell=(164,4) PROBE0 nodes=133
T1 sh5 cell=(83,5) PROBE0 nodes=91
T1 sh22 cell=(252,5) PROBE0 nodes=78
T1 sh4 cell=(196,5) PROBE0 nodes=8
T1 sh2 cell=(64,5) PROBE0 nodes=44
T1 sh8 cell=(99,5) PROPKILL
T1 sh9 cell=(100,5) PROBE0 nodes=2
T1 sh7 cell=(12,6) PROBE0 nodes=277
T1 sh15 cell=(274,4) PROBE0 nodes=180
T1 sh1 cell=(274,5) PROBE0 nodes=164
T1 sh18 cell=(6,5) PROBE0 nodes=241
T1 sh24 cell=(43,5) PROBE0 nodes=58
T1 sh23 cell=(256,5) PROBE0 nodes=102
T1 sh21 cell=(149,5) PROBE0 nodes=149
T1 sh0 cell=(49,5) PROBE0 nodes=75
T1 sh19 cell=(87,6) PROBE0 nodes=23
T1 sh6 cell=(84,5) PROBE0 nodes=47
T1 sh12 cell=(115,5) PROBE0 nodes=504
T1 sh22 cell=(110,6) PROBE0 nodes=8
T1 sh25 cell=(127,6) PROBE0 nodes=4
T1 sh17 cell=(242,5) PROBE0 nodes=32
T1 sh5 cell=(198,5) PROBE0 nodes=6
T1 sh4 cell=(5,6) PROBE0 nodes=185
T1 sh20 cell=(147,5) PROBE0 nodes=151
T1 sh8 cell=(206,5) PROBE0 nodes=14
T1 sh7 cell=(154,6) PROBE0 nodes=18
T1 sh2 cell=(183,5) PROBE0 nodes=189
T1 sh15 cell=(125,5) PROBE0 nodes=565
T1 sh1 cell=(136,6) PROBE0 nodes=620
T1 sh24 cell=(161,5) PROBE0 nodes=26
T1 sh13 cell=(191,6) PROBE0 nodes=89
T1 sh21 cell=(251,5) PROBE0 nodes=99
T1 sh22 cell=(253,6) PROBE0 nodes=623
T1 sh23 cell=(113,6) PROBE0 nodes=9
T1 sh4 cell=(141,6) PROBE0 nodes=456
T1 sh25 cell=(273,6) PROBE0 nodes=164
T1 sh10 cell=(55,7) PROBE0 nodes=145
T1 sh17 cell=(81,6) PROBE0 nodes=50
T1 sh5 cell=(8,6) PROBE0 nodes=90
T1 sh20 cell=(248,5) PROBE0 nodes=71
T1 sh8 cell=(17,6) PROBE0 nodes=43
T1 sh16 cell=(94,7) PROBE0 nodes=82
T1 sh11 cell=(36,6) PROBE0 nodes=542
T1 sh3 cell=(1,6) PROBE0 nodes=72
T1 sh9 cell=(23,6) PROBE0 nodes=142
T1 sh13 cell=(74,7) PROBE0 nodes=9
T1 sh1 cell=(3,7) PROBE0 nodes=241
T1 sh15 cell=(227,5) PROBE0 nodes=10
T1 sh2 cell=(0,6) PROBE0 nodes=71
T1 sh19 cell=(114,7) PROBE0 nodes=7
T1 sh14 cell=(47,6) PROBE0 nodes=50
T1 sh21 cell=(96,6) PROBE0 nodes=26
T1 sh24 cell=(264,5) PROBE0 nodes=156
T1 sh18 cell=(244,5) PROBE0 nodes=48
T1 sh6 cell=(10,6) PROBE0 nodes=92
T1 sh4 cell=(15,7) PROBE0 nodes=96
T1 sh0 cell=(268,5) PROBE0 nodes=150
T1 sh12 cell=(37,6) PROBE0 nodes=37
T1 sh25 cell=(149,7) PROBE0 nodes=444
T1 sh23 cell=(254,6) PROBE0 nodes=531
T1 sh8 cell=(157,6) PROBE0 nodes=24
T1 sh5 cell=(145,6) PROBE0 nodes=152
T1 sh20 cell=(95,6) PROBE0 nodes=26
T1 sh1 cell=(156,7) PROBE0 nodes=24
T1 sh19 cell=(240,7) PROBE0 nodes=50
T1 sh9 cell=(168,6) PROBE0 nodes=117
T1 sh3 cell=(139,6) PROBE0 nodes=450
T1 sh2 cell=(138,6) PROBE0 nodes=110
T1 sh21 cell=(250,6) PROBE0 nodes=98
T1 sh18 cell=(85,6) PROBE0 nodes=50
T1 sh4 cell=(174,7) PROBE0 nodes=4
T1 sh25 cell=(7,8) PROBE0 nodes=467
T1 sh16 cell=(111,8) PROBE0 nodes=12
T1 sh6 cell=(146,6) PROBE0 nodes=151
T1 sh23 cell=(141,7) PROBE0 nodes=162
T1 sh0 cell=(130,6) PROBE0 nodes=565
T1 sh8 cell=(43,7) PROBE0 nodes=41
T1 sh7 cell=(53,8) PROBE0 nodes=349
T1 sh20 cell=(242,6) PROBE0 nodes=49
T1 sh5 cell=(19,7) PROBE0 nodes=49
T1 sh19 cell=(130,8) PROBE0 nodes=500
T1 sh12 cell=(182,6) PROBE0 nodes=507
T1 sh11 cell=(56,7) PROBE0 nodes=139
T1 sh1 cell=(18,8) PROBE0 nodes=93
T1 sh10 cell=(190,8) PROBE0 nodes=64
T1 sh14 cell=(79,7) PROBE0 nodes=13
T1 sh3 cell=(10,7) PROBE0 nodes=91
T1 sh2 cell=(5,7) PROBE0 nodes=86
T1 sh9 cell=(47,7) PROBE0 nodes=50
T1 sh25 cell=(152,8) PROBE0 nodes=21
T1 sh21 cell=(129,7) PROBE0 nodes=398
T1 sh4 cell=(43,8) PROBE0 nodes=53
T1 sh6 cell=(20,7) PROBE0 nodes=51
T1 sh23 cell=(264,7) PROBE0 nodes=137
T1 sh24 cell=(272,6) PROBE0 nodes=318
T1 sh0 cell=(274,6) PROBE0 nodes=179
T1 sh8 cell=(192,7) PROBE0 nodes=84
T1 sh19 cell=(220,8) PROBE0 nodes=7
T1 sh12 cell=(73,7) PROBE0 nodes=9
T1 sh20 cell=(128,7) PROBE0 nodes=500
T1 sh5 cell=(179,7) PROBE0 nodes=176
T1 sh1 cell=(155,8) PROBE0 nodes=24
T1 sh17 cell=(226,7) PROBE0 nodes=20
T1 sh9 cell=(197,7) PROBE0 nodes=85
T1 sh22 cell=(241,8) PROBE0 nodes=50
T1 sh15 cell=(83,7) PROBE0 nodes=8
T1 sh21 cell=(247,7) PROBE0 nodes=134
T1 sh4 cell=(161,8) PROBE0 nodes=325
T1 sh3 cell=(171,7) PROBE0 nodes=108
T1 sh16 cell=(92,9) PROBE0 nodes=85
T1 sh25 cell=(253,8) PROBE0 nodes=617
T1 sh18 cell=(104,7) PROBE0 nodes=27
T1 sh7 cell=(19,9) PROBE0 nodes=43
T1 sh23 cell=(144,8) PROBE0 nodes=154
T1 sh1 cell=(264,8) PROBE0 nodes=155
T1 sh20 cell=(243,7) PROBE0 nodes=42
T1 sh13 cell=(75,9) PROBE0 nodes=6
T1 sh5 cell=(45,8) PROBE0 nodes=57
T1 sh6 cell=(181,7) PROBE0 nodes=178
T1 sh24 cell=(148,7) PROBE0 nodes=114
T1 sh17 cell=(118,8) PROBE0 nodes=426
T1 sh22 cell=(108,9) PROBE0 nodes=18
T1 sh4 cell=(11,9) PROBE0 nodes=197
T1 sh16 cell=(196,9) PROBE0 nodes=87
T1 sh2 cell=(28,8) PROBE0 nodes=10
T1 sh11 cell=(90,8) PROBE0 nodes=45
T1 sh18 cell=(238,7) PROBE0 nodes=15
T1 sh14 cell=(106,8) PROBE0 nodes=46
T1 sh3 cell=(33,8) PROBE0 nodes=557
T1 sh21 cell=(140,8) PROBE0 nodes=161
T1 sh7 cell=(162,9) PROBE0 nodes=327
T1 sh19 cell=(45,10) PROPKILL
T1 sh1 cell=(133,9) PROBE0 nodes=528
T1 sh13 cell=(183,9) PROBE0 nodes=78
T1 sh5 cell=(166,8) PROBE0 nodes=114
T1 sh10 cell=(17,10) PROBE0 nodes=48
T1 sh0 cell=(11,8) PROBE0 nodes=191
T1 sh20 cell=(135,8) PROBE0 nodes=113
T1 sh24 cell=(2,8) PROBE0 nodes=67
T1 sh23 cell=(250,8) PROBE0 nodes=610
T1 sh6 cell=(46,8) PROBE0 nodes=57
T1 sh4 cell=(153,9) PROBE0 nodes=21
T1 sh25 cell=(230,9) PROBE0 nodes=51
T1 sh2 cell=(156,8) PROBE0 nodes=23
T1 sh9 cell=(183,8) PROBE0 nodes=75
T1 sh9 cell=(34,9) PROPKILL
T1 sh11 cell=(192,8) PROBE0 nodes=71
T1 sh3 cell=(158,8) PROBE0 nodes=300
T1 sh15 cell=(109,8) PROBE0 nodes=36
T1 sh7 cell=(0,10) PROBE0 nodes=65
T1 sh20 cell=(221,8) PROBE0 nodes=6
T1 sh1 cell=(239,9) PROBE0 nodes=7
T1 sh18 cell=(126,8) PROBE0 nodes=418
T1 sh21 cell=(232,8) PROBE0 nodes=39
T1 sh5 cell=(13,9) PROBE0 nodes=95
T1 sh0 cell=(153,8) PROBE0 nodes=21
T1 sh23 cell=(111,9) PROBE0 nodes=14
T1 sh24 cell=(146,8) PROBE0 nodes=437
T1 sh4 cell=(252,9) PROBE0 nodes=617
T1 sh25 cell=(82,10) PROBE0 nodes=10
T1 sh6 cell=(167,8) PROBE0 nodes=117
T1 sh16 cell=(157,10) PROBE0 nodes=301
T1 sh12 cell=(197,8) PROBE0 nodes=76
T1 sh2 cell=(0,9) PROBE0 nodes=66
T1 sh17 cell=(94,9) PROBE0 nodes=57
T1 sh11 cell=(73,9) PROBE0 nodes=7
T1 sh7 cell=(116,10) PROBE0 nodes=7
T1 sh13 cell=(142,10) PROBE0 nodes=462
T1 sh20 cell=(105,9) PROBE0 nodes=32
T1 sh14 cell=(80,9) PROBE0 nodes=14
T1 sh1 cell=(94,10) PROBE0 nodes=42
T1 sh21 cell=(107,9) PROBE0 nodes=18
T1 sh9 cell=(165,9) PROBE0 nodes=123
T1 sh3 cell=(4,9) PROBE0 nodes=219
T1 sh10 cell=(238,10) PROBE0 nodes=12
T1 sh19 cell=(274,10) PROBE0 nodes=6
T1 sh0 cell=(263,8) PROBE0 nodes=139
T1 sh4 cell=(106,10) PROBE0 nodes=32
T1 sh23 cell=(221,9) PROBE0 nodes=9
T1 sh18 cell=(219,8) PROBE0 nodes=48
T1 sh25 cell=(191,10) PROBE0 nodes=72
T1 sh5 cell=(157,9) PROBE0 nodes=139
T1 sh12 cell=(74,9) PROBE0 nodes=7
T1 sh6 cell=(14,9) PROBE0 nodes=95
T1 sh13 cell=(245,10) PROBE0 nodes=56
T1 sh11 cell=(171,9) PROBE0 nodes=102
T1 sh24 cell=(252,8) PROBE0 nodes=531
T1 sh8 cell=(164,9) PROBE0 nodes=121
T1 sh9 cell=(16,10) PROBE0 nodes=48
T1 sh25 cell=(27,11) PROBE0 nodes=17
T1 sh17 cell=(201,9) PROBE0 nodes=388
T1 sh23 cell=(76,10) PROBE0 nodes=85
T1 sh3 cell=(142,9) PROBE0 nodes=161
T1 sh16 cell=(113,11) PROBE0 nodes=7
T1 sh15 cell=(90,9) PROBE0 nodes=48
T1 sh12 cell=(177,9) PROBE0 nodes=83
T1 sh22 cell=(15,11) PROBE0 nodes=505
T1 sh13 cell=(86,11) PROBE0 nodes=62
T1 sh11 cell=(19,10) PROBE0 nodes=43
T1 sh1 cell=(30,11) PROBE0 nodes=14
T1 sh8 cell=(14,10) PROBE0 nodes=193
T1 sh6 cell=(158,9) PROBE0 nodes=139
T1 sh25 cell=(163,11) PROBE0 nodes=330
T1 sh20 cell=(52,10) PROBE0 nodes=109
T1 sh9 cell=(125,10) PROBE0 nodes=595
T1 sh17 cell=(37,10) PROBE0 nodes=37
T1 sh14 cell=(28,10) PROBE0 nodes=17
T1 sh16 cell=(238,11) PROBE0 nodes=11
T1 sh5 cell=(110,10) PROBE0 nodes=14
T1 sh12 cell=(20,10) PROBE0 nodes=44
T1 sh0 cell=(231,9) PROBE0 nodes=26
T1 sh13 cell=(232,11) PROBE0 nodes=11
T1 sh22 cell=(144,11) PROBE0 nodes=514
T1 sh3 cell=(251,9) PROBE0 nodes=531
T1 sh21 cell=(55,10) PROBE0 nodes=161
T1 sh15 cell=(191,9) PROBE0 nodes=68
T1 sh25 cell=(18,12) PROBE0 nodes=274
T1 sh8 cell=(124,10) PROBE0 nodes=416
T1 sh6 cell=(265,9) PROBE0 nodes=181
